Name,Age,Gender,Birthday,City,Natural
Nettie Gordon,41,Female,4/10/1981,Ojeokfa,1
Mittie Simmons,52,Female,20/1/1954,Hopivela,3
Mina Reyes,61,Female,17/6/1997,Riorahu,1
Pearl Dunn,37,Female,4/6/2000,Ogumafmid,4
Earl Smith,23,Female,11/11/1972,Ovacaje,5
Charlie Jones,57,Male,4/2/1996,Iwipiguca,5
Adeline McDaniel,38,Female,7/1/1977,Sesuden,1
Larry Powell,54,Male,25/6/1977,Burfezki,2
Johnny Jenkins,56,Male,18/9/1985,Pupusec,0
Arthur Frank,44,Female,1/7/1989,Abkuine,5
Ophelia Baldwin,30,Male,24/8/1994,Ikabufza,5
Henry Shaw,18,Female,22/10/1954,Cagalji,1
Mario Becker,23,Male,7/2/1958,Vaazlec,4
Lura Sims,46,Female,24/8/1998,Cudomeb,2
Jean Young,39,Male,16/2/1963,Pehruwo,1
Jesse Perkins,55,Male,8/8/1955,Foklivitu,0
Bernard Adkins,44,Female,6/7/1994,Lonufsa,0
Winifred Clark,45,Female,5/7/1953,Zowzamjas,2
Winifred Thornton,62,Male,2/8/1988,Pevevvul,5
Joseph Pope,39,Female,14/8/1974,Cecuzze,1
Isabel Schwartz,47,Male,18/11/1979,Wekeba,5
Brian Griffin,51,Female,4/10/1979,Kokabu,1
Leonard Foster,59,Female,25/9/1973,Dikkecena,5
Emilie Hunt,57,Female,3/2/1974,Lijohen,5
Georgia Green,29,Male,11/10/1985,Lugmognuw,0
Daniel Jenkins,41,Female,17/3/1988,Kigkotkur,2
Lou Jensen,36,Male,5/5/2000,Ifpehgo,3
Joseph Silva,45,Female,14/7/1972,Umijekez,3
Alejandro Perkins,33,Male,26/8/1979,Riewoba,5
Henry Wright,38,Male,14/6/1968,Dudriif,4
Bernice Smith,46,Female,24/2/1978,Ezulavzer,5
Herbert Walsh,43,Male,23/1/1980,Ravgase,3
Myra Griffin,39,Male,1/7/1982,Kurinkak,0
Chester Morgan,19,Male,24/8/1995,Cemlaca,0
Oscar Summers,38,Male,7/7/1979,Juddighe,1
Seth Allen,42,Female,5/2/1964,Sebewoh,1
Adrian Payne,47,Female,15/5/1983,Sedocvek,0
Troy Bailey,58,Male,28/8/1987,Vasbikod,5
Steve Bailey,58,Male,31/3/1983,Jezippi,1
Willie Parks,24,Female,2/1/1993,Jenipav,0
Henry Roberson,35,Female,22/6/1960,Tuzliun,3
Phoebe Pena,19,Female,21/11/1983,Ucjoer,5
Millie Bowen,24,Female,11/3/1964,Jipjuvob,5
Lucy Nelson,52,Female,22/1/1960,Zobugi,5
Lewis Gonzales,42,Male,14/8/1979,Tetozih,0
Theodore Blair,55,Male,27/8/1986,Suparcaz,1
Matthew Holloway,60,Female,25/8/1997,Gesioto,1
Nicholas Robinson,31,Female,4/6/1995,Cusemub,5
Bettie Neal,33,Male,26/12/1979,Gozetsol,4
Nathan McCoy,48,Female,24/5/1994,Faoppap,4
Addie Tate,62,Male,27/4/1992,Noruafi,1
Mildred Rodgers,30,Male,16/8/1956,Toczenzu,2
Blanche Joseph,35,Male,13/8/1978,Pajupirom,5
Johnny Pope,43,Female,29/9/1957,Padifib,3
Francisco Moody,58,Female,13/7/1967,Wuhcowul,1
Russell Henry,34,Female,15/11/1974,Ocartu,2
Lloyd Mathis,38,Female,24/10/1988,Afiezev,3
Jon Burgess,24,Male,9/2/1986,Ozhemni,2
Mike Lucas,54,Male,22/3/1971,Iwbarapo,5
Nettie Hansen,22,Female,8/10/1978,Wugolta,5
Stephen Fernandez,61,Female,18/2/1965,Kerase,5
Alex Burke,25,Male,5/4/1984,Lagkuzfe,4
Charlie Potter,57,Male,5/2/1970,Havkalefe,5
Henrietta Wilkins,56,Female,20/7/1967,Zovtoaz,2
Ruth Hart,44,Male,4/8/1991,Talumso,4
Mamie Gibson,53,Male,5/3/1997,Fefumik,4
Adeline Garza,63,Female,10/4/1978,Vohrobog,4
Chester Graham,38,Male,13/11/1993,Ohedosfu,3
Manuel Rose,22,Female,14/2/1993,Vivobize,2
Raymond Jefferson,56,Male,3/9/1981,Uvbekjov,1
Sally Bell,28,Male,20/5/1999,Pupsupu,5
Amy McLaughlin,60,Male,23/5/1980,Ijewalari,3
Ellen Vaughn,41,Male,21/1/1983,Tevdizdav,4
Marian Marsh,39,Male,27/8/2000,Hegama,3
Clyde Rogers,28,Male,11/9/1983,Afakogi,2
Laura West,55,Female,17/5/1968,Ufudoab,5
Gussie Casey,60,Female,7/11/1972,Uragevrab,1
Rosetta Cook,46,Female,20/9/1974,Ifweme,4
Maude Gross,47,Female,9/9/1967,Hivumu,4
Ralph Cooper,36,Male,5/9/1989,Loddikmor,5
Evan Colon,58,Female,15/11/1984,Ohjubzur,5
Joel Griffin,63,Female,4/2/1968,Tihemihe,2
Lily Briggs,31,Male,22/7/1956,Wagazu,2
Hunter Singleton,22,Male,13/1/1954,Papaov,4
Alan Willis,28,Male,18/7/1975,Duguvwa,3
David Bridges,47,Male,3/5/1989,Vifjapi,3
Ray Briggs,22,Male,4/2/1992,Cihemsu,2
Jeff Morgan,44,Female,9/11/1970,Toorha,5
Beatrice Leonard,44,Female,21/8/1955,Injoica,3
Paul Garrett,25,Male,1/1/1984,Hehodu,5
Brett Barnett,45,Male,19/6/1983,Leadcor,3
Wesley Bailey,34,Male,1/5/1956,Vepbiol,1
